                 LAT,                 LON,
          +329834104,         -1172650239,
          +329834100,         -1172650256,
          +329834099,         -1172650267,
          +329834096,         -1172650276,
          +329834097,         -1172650281,
          +329834096,         -1172650293,
          +329834096,         -1172650308,
          +329834100,         -1172650327,
          +329834103,         -1172650345,
          +329834103,         -1172650355,
          +329834103,         -1172650363,
          +329834097,         -1172650369,
          +329834092,         -1172650385,
          +329834088,         -1172650403,
          +329834087,         -1172650426,
          +329834083,         -1172650454,
          +329834075,         -1172650491,
          +329834067,         -1172650540,
          +329834058,         -1172650597,
          +329834048,         -1172650662,
          +329834037,         -1172650728,
          +329834021,         -1172650794,
          +329834004,         -1172650862,
          +329833988,         -1172650921,
          +329833972,         -1172650975,
          +329833967,         -1172650996,
          +329833970,         -1172650993,
          +329833972,         -1172650994,
          +329833974,         -1172650998,
          +329833974,         -1172651002,
          +329833962,         -1172651000,
          +329833931,         -1172650995,
          +329833893,         -1172650984,
          +329833856,         -1172650959,
          +329833822,         -1172650925,
          +329833815,         -1172650840,
          +329833827,         -1172650759,
          +329833836,         -1172650698,
          +329833843,         -1172650629,
          +329833856,         -1172650553,
          +329833868,         -1172650485,
          +329833875,         -1172650429,
          +329833883,         -1172650353,
          +329833885,         -1172650295,
          +329833884,         -1172650245,
          +329833886,         -1172650184,
          +329833886,         -1172650133,
          +329833889,         -1172650077,
          +329833890,         -1172650020,
          +329833894,         -1172649959,
          +329833893,         -1172649906,
          +329833882,         -1172649869,
          +329833873,         -1172649831,
          +329833871,         -1172649793,
          +329833864,         -1172649759,
          +329833846,         -1172649742,
          +329833820,         -1172649739,
          +329833793,         -1172649753,
          +329833772,         -1172649768,
          +329833752,         -1172649787,
          +329833726,         -1172649816,
          +329833710,         -1172649857,
          +329833711,         -1172649896,
          +329833724,         -1172649903,
          +329833747,         -1172649903,
          +329833780,         -1172649914,
          +329833810,         -1172649938,
          +329833840,         -1172649964,
          +329833872,         -1172649987,
          +329833919,         -1172650003,
          +329833964,         -1172650023,
          +329834000,         -1172650042,
          +329834015,         -1172650075,
          +329834009,         -1172650114,
          +329833993,         -1172650146,
          +329833971,         -1172650174,
          +329833950,         -1172650205,
          +329833925,         -1172650226,
          +329833910,         -1172650259,
          +329833910,         -1172650289,
          +329833903,         -1172650313,
          +329833887,         -1172650328,
          +329833869,         -1172650339,
          +329833852,         -1172650346,
          +329833815,         -1172650388,
          +329833793,         -1172650423,
          +329833764,         -1172650463,
          +329833753,         -1172650503,
          +329833763,         -1172650533,
          +329833784,         -1172650566,
          +329833852,         -1172650619,
          +329833886,         -1172650644,
          +329833921,         -1172650678,
          +329833960,         -1172650707,
          +329834003,         -1172650734,
          +329834043,         -1172650757,
          +329834079,         -1172650756,
          +329834099,         -1172650733,
          +329834113,         -1172650694,
          +329834127,         -1172650663,
          +329834140,         -1172650630,
          +329834151,         -1172650594,
          +329834174,         -1172650565,
          +329834193,         -1172650536,
          +329834213,         -1172650510,
          +329834237,         -1172650479,
          +329834249,         -1172650456,
          +329834255,         -1172650424,
          +329834247,         -1172650396,
          +329834221,         -1172650372,
          +329834170,         -1172650364,
          +329834123,         -1172650340,
          +329834090,         -1172650310,
          +329834052,         -1172650300,
          +329834008,         -1172650289,
          +329833970,         -1172650269,
          +329833940,         -1172650245,
          +329833912,         -1172650228,
          +329833876,         -1172650231,
          +329833846,         -1172650256,
          +329833814,         -1172650286,
          +329833784,         -1172650316,
          +329833771,         -1172650357,
          +329833782,         -1172650386,
          +329833802,         -1172650407,
          +329833821,         -1172650439,
          +329833842,         -1172650471,
          +329833853,         -1172650514,
          +329833857,         -1172650555,
          +329833851,         -1172650597,
          +329833843,         -1172650636,
          +329833834,         -1172650674,
          +329833824,         -1172650729,
          +329833829,         -1172650777,
          +329833852,         -1172650815,
          +329833888,         -1172650846,
          +329833930,         -1172650867,
          +329833968,         -1172650862,
          +329833997,         -1172650840,
          +329834009,         -1172650817,
          +329834012,         -1172650790,
          +329834019,         -1172650768,
          +329834025,         -1172650744,
          +329834032,         -1172650710,
          +329834029,         -1172650683,
          +329834012,         -1172650663,
          +329833994,         -1172650638,
          +329833981,         -1172650604,
          +329833980,         -1172650558,
          +329833986,         -1172650499,
          +329833998,         -1172650433,
          +329834015,         -1172650371,
          +329834037,         -1172650311,
          +329834064,         -1172650251,
          +329834086,         -1172650190,
          +329834114,         -1172650140,
          +329834150,         -1172650089,
          +329834183,         -1172650033,
          +329834221,         -1172649970,
          +329834264,         -1172649914,
          +329834306,         -1172649857,
          +329834342,         -1172649786,
          +329834372,         -1172649716,
          +329834403,         -1172649638,
          +329834432,         -1172649554,
          +329834461,         -1172649460,
          +329834487,         -1172649354,
          +329834524,         -1172649257,
          +329834575,         -1172649234,
          +329834625,         -1172649250,
          +329834710,         -1172649204,
          +329834743,         -1172649150,
          +329834760,         -1172649092,
          +329834744,         -1172649041,
          +329834699,         -1172648995,
          +329834645,         -1172648942,
          +329834614,         -1172648871,
          +329834571,         -1172648793,
          +329834503,         -1172648711,
          +329834417,         -1172648648,
          +329834322,         -1172648599,
          +329834218,         -1172648541,
          +329834095,         -1172648487,
          +329833952,         -1172648435,
          +329833731,         -1172648330,
          +329833681,         -1172648334,
          +329833629,         -1172648337,
          +329833599,         -1172648284,
          +329833558,         -1172648264,
          +329833514,         -1172648249,
          +329833506,         -1172648223,
          +329833522,         -1172648208,
          +329833555,         -1172648195,
          +329833585,         -1172648200,
          +329833622,         -1172648221,
          +329833648,         -1172648226,
          +329833658,         -1172648223,
          +329833686,         -1172648223,
          +329833718,         -1172648253,
          +329833754,         -1172648282,
          +329833772,         -1172648323,
          +329833783,         -1172648362,
          +329833786,         -1172648390,
          +329833780,         -1172648392,
          +329833760,         -1172648381,
          +329833736,         -1172648394,
          +329833678,         -1172648429,
          +329833676,         -1172648440,
          +329833653,         -1172648460,
          +329833585,         -1172648465,
          +329833549,         -1172648524,
          +329833568,         -1172648545,
          +329833586,         -1172648538,
          +329833582,         -1172648540,
          +329833570,         -1172648513,
          +329833542,         -1172648483,
          +329833507,         -1172648452,
          +329833471,         -1172648463,
          +329833459,         -1172648459,
          +329833467,         -1172648445,
          +329833485,         -1172648443,
          +329833504,         -1172648429,
          +329833500,         -1172648439,
          +329833490,         -1172648462,
          +329833481,         -1172648534,
          +329833474,         -1172648592,
          +329833458,         -1172648642,
          +329833436,         -1172648693,
          +329833404,         -1172648747,
          +329833366,         -1172648786,
