                 LAT,                 LON,
          +329834334,         -1172649527,
          +329834350,         -1172649451,
          +329834365,         -1172649371,
          +329834382,         -1172649283,
          +329834407,         -1172649202,
          +329834430,         -1172649117,
          +329834457,         -1172649021,
          +329834453,         -1172648927,
          +329834435,         -1172648838,
          +329834444,         -1172648757,
          +329834464,         -1172648698,
          +329834478,         -1172648637,
          +329834492,         -1172648566,
          +329834505,         -1172648495,
          +329834516,         -1172648426,
          +329834526,         -1172648346,
          +329834537,         -1172648256,
          +329834562,         -1172648180,
          +329834611,         -1172648116,
          +329834679,         -1172648081,
          +329834726,         -1172648112,
          +329834741,         -1172648171,
          +329834727,         -1172648232,
          +329834704,         -1172648294,
          +329834686,         -1172648350,
          +329834673,         -1172648417,
          +329834656,         -1172648514,
          +329834650,         -1172648623,
          +329834634,         -1172648733,
          +329834611,         -1172648828,
          +329834581,         -1172648922,
          +329834561,         -1172649026,
          +329834555,         -1172649123,
          +329834542,         -1172649213,
          +329834539,         -1172649299,
          +329834569,         -1172649352,
          +329834608,         -1172649381,
          +329834633,         -1172649428,
          +329834657,         -1172649462,
          +329834669,         -1172649499,
          +329834662,         -1172649536,
          +329834638,         -1172649584,
          +329834605,         -1172649626,
          +329834558,         -1172649656,
          +329834510,         -1172649674,
          +329834466,         -1172649695,
          +329834432,         -1172649732,
          +329834412,         -1172649775,
          +329834360,         -1172649831,
          +329834304,         -1172649873,
          +329834277,         -1172649929,
          +329834255,         -1172649964,
          +329834249,         -1172649984,
          +329834257,         -1172649986,
          +329834259,         -1172649985,
          +329834259,         -1172649984,
          +329834253,         -1172649990,
          +329834246,         -1172649995,
          +329834243,         -1172649996,
          +329834242,         -1172649998,
          +329834244,         -1172649999,
          +329834241,         -1172650003,
          +329834235,         -1172650010,
          +329834225,         -1172650021,
          +329834215,         -1172650027,
          +329834208,         -1172650026,
          +329834204,         -1172650025,
          +329834191,         -1172650043,
          +329834175,         -1172650062,
          +329834161,         -1172650075,
          +329834136,         -1172650083,
          +329834115,         -1172650095,
          +329834098,         -1172650110,
          +329834081,         -1172650128,
          +329834071,         -1172650133,
          +329834065,         -1172650132,
          +329834064,         -1172650131,
          +329834059,         -1172650133,
          +329834053,         -1172650138,
          +329834042,         -1172650140,
          +329834035,         -1172650141,
          +329834030,         -1172650137,
          +329834031,         -1172650120,
          +329834029,         -1172650101,
          +329834022,         -1172650091,
          +329834007,         -1172650090,
          +329833995,         -1172650076,
          +329833988,         -1172650057,
          +329833975,         -1172650047,
          +329833972,         -1172650041,
          +329833993,         -1172650029,
          +329834008,         -1172650013,
          +329833993,         -1172649986,
          +329833978,         -1172649959,
          +329833965,         -1172649946,
          +329833949,         -1172649951,
          +329833939,         -1172649951,
          +329833936,         -1172649965,
          +329833936,         -1172649988,
          +329833954,         -1172650001,
          +329833965,         -1172649996,
          +329833973,         -1172649979,
          +329833994,         -1172649953,
          +329834002,         -1172649943,
          +329834003,         -1172649953,
          +329833995,         -1172649955,
          +329833980,         -1172649946,
          +329833966,         -1172649959,
          +329833960,         -1172649981,
          +329833949,         -1172649994,
          +329833943,         -1172650007,
          +329833959,         -1172650037,
          +329833985,         -1172650109,
          +329834021,         -1172650183,
          +329834068,         -1172650250,
          +329834138,         -1172650303,
          +329834216,         -1172650348,
          +329834282,         -1172650407,
          +329834334,         -1172650471,
          +329834368,         -1172650545,
          +329834393,         -1172650615,
          +329834408,         -1172650662,
          +329834415,         -1172650697,
          +329834431,         -1172650728,
          +329834457,         -1172650762,
          +329834486,         -1172650825,
          +329834508,         -1172650868,
          +329834521,         -1172650872,
          +329834524,         -1172650857,
          +329834497,         -1172650837,
          +329834465,         -1172650824,
          +329834456,         -1172650813,
          +329834459,         -1172650812,
          +329834458,         -1172650815,
          +329834460,         -1172650807,
          +329834457,         -1172650796,
          +329834438,         -1172650794,
          +329834431,         -1172650774,
          +329834429,         -1172650778,
          +329834424,         -1172650785,
          +329834420,         -1172650789,
          +329834405,         -1172650783,
          +329834391,         -1172650768,
          +329834393,         -1172650768,
          +329834392,         -1172650772,
          +329834388,         -1172650767,
          +329834389,         -1172650733,
          +329834369,         -1172650709,
          +329834344,         -1172650704,
          +329834327,         -1172650699,
          +329834328,         -1172650696,
          +329834330,         -1172650698,
          +329834339,         -1172650708,
          +329834347,         -1172650733,
          +329834351,         -1172650752,
          +329834350,         -1172650760,
          +329834351,         -1172650757,
          +329834353,         -1172650752,
          +329834363,         -1172650743,
          +329834371,         -1172650729,
          +329834364,         -1172650730,
          +329834358,         -1172650732,
          +329834354,         -1172650733,
          +329834349,         -1172650733,
          +329834335,         -1172650743,
          +329834318,         -1172650752,
          +329834309,         -1172650756,
          +329834305,         -1172650756,
          +329834302,         -1172650759,
          +329834294,         -1172650767,
          +329834284,         -1172650777,
          +329834285,         -1172650773,
          +329834292,         -1172650770,
          +329834297,         -1172650764,
          +329834303,         -1172650758,
          +329834304,         -1172650745,
          +329834303,         -1172650735,
          +329834303,         -1172650726,
