                 LAT,                 LON,
          +329834138,         -1172649998,
          +329834140,         -1172650013,
          +329834141,         -1172650025,
          +329834144,         -1172650031,
          +329834169,         -1172650041,
          +329834192,         -1172650050,
          +329834198,         -1172650054,
          +329834212,         -1172650054,
          +329834218,         -1172650051,
          +329834217,         -1172650057,
          +329834217,         -1172650061,
          +329834211,         -1172650053,
          +329834197,         -1172650036,
          +329834183,         -1172650027,
          +329834177,         -1172650026,
          +329834176,         -1172650034,
          +329834177,         -1172650041,
          +329834173,         -1172650047,
          +329834169,         -1172650052,
          +329834161,         -1172650053,
          +329834155,         -1172650047,
          +329834143,         -1172650049,
          +329834117,         -1172650046,
          +329834094,         -1172650035,
          +329834067,         -1172650023,
          +329834064,         -1172650008,
          +329834073,         -1172650003,
          +329834073,         -1172650005,
          +329834074,         -1172650016,
          +329834082,         -1172650028,
          +329834092,         -1172650042,
          +329834104,         -1172650052,
          +329834115,         -1172650057,
          +329834119,         -1172650062,
          +329834120,         -1172650064,
          +329834126,         -1172650057,
          +329834126,         -1172650057,
          +329834121,         -1172650045,
          +329834086,         -1172650020,
          +329834042,         -1172649995,
          +329834003,         -1172649951,
          +329833990,         -1172649896,
          +329834005,         -1172649787,
          +329834013,         -1172649740,
          +329834028,         -1172649705,
          +329834053,         -1172649662,
          +329834100,         -1172649621,
          +329834168,         -1172649585,
          +329834248,         -1172649546,
          +329834357,         -1172649518,
          +329834478,         -1172649508,
          +329834650,         -1172649507,
          +329835076,         -1172649636,
          +329835191,         -1172649723,
          +329835291,         -1172649809,
          +329835346,         -1172649933,
          +329835408,         -1172650083,
          +329835444,         -1172650216,
          +329835425,         -1172650367,
          +329835421,         -1172650513,
          +329835418,         -1172650659,
          +329835414,         -1172650806,
          +329835411,         -1172650952,
          +329835407,         -1172651098,
          +329835404,         -1172651244,
          +329835400,         -1172651391,
          +329835397,         -1172651537,
          +329835393,         -1172651683,
          +329835389,         -1172651829,
          +329835386,         -1172651976,
          +329835382,         -1172652122,
          +329835379,         -1172652268,
          +329835375,         -1172652414,
          +329835372,         -1172652561,
          +329835368,         -1172652707,
          +329835365,         -1172652853,
          +329835361,         -1172653000,
          +329835358,         -1172653146,
          +329835354,         -1172653292,
          +329835350,         -1172653438,
          +329835347,         -1172653585,
          +329835343,         -1172653731,
          +329835340,         -1172653877,
          +329835336,         -1172654023,
          +329835333,         -1172654170,
          +329835329,         -1172654316,
          +329835326,         -1172654462,
          +329835322,         -1172654609,
          +329835319,         -1172654755,
          +329835315,         -1172654901,
          +329835311,         -1172655047,
          +329835308,         -1172655194,
          +329835304,         -1172655340,
          +329835301,         -1172655486,
          +329835297,         -1172655632,
          +329835294,         -1172655779,
          +329835290,         -1172655925,
          +329835287,         -1172656071,
          +329838298,         -1172647722,
          +329836814,         -1172648747,
          +329835812,         -1172649366,
          +329835313,         -1172649899,
          +329834905,         -1172650156,
          +329834562,         -1172650376,
          +329834327,         -1172650500,
          +329834200,         -1172650557,
          +329834094,         -1172650583,
          +329834000,         -1172650593,
          +329833963,         -1172650553,
          +329833899,         -1172650568,
          +329833820,         -1172650587,
          +329833731,         -1172650576,
          +329833753,         -1172650543,
          +329833832,         -1172650518,
          +329833931,         -1172650505,
          +329834004,         -1172650489,
          +329834067,         -1172650470,
          +329834113,         -1172650458,
          +329834135,         -1172650453,
          +329834122,         -1172650450,
          +329834114,         -1172650446,
          +329834121,         -1172650434,
          +329834119,         -1172650426,
          +329834121,         -1172650434,
          +329834128,         -1172650432,
          +329834148,         -1172650419,
          +329834168,         -1172650398,
          +329834188,         -1172650381,
          +329834205,         -1172650367,
          +329834204,         -1172650362,
          +329834202,         -1172650356,
          +329834199,         -1172650338,
          +329834221,         -1172650332,
          +329834292,         -1172650344,
          +329834391,         -1172650360,
          +329834514,         -1172650392,
          +329834655,         -1172650405,
          +329834781,         -1172650390,
          +329834851,         -1172650372,
          +329834892,         -1172650362,
          +329834939,         -1172650370,
          +329834982,         -1172650381,
          +329835013,         -1172650393,
          +329835058,         -1172650402,
          +329835065,         -1172650425,
          +329835064,         -1172650435,
          +329835042,         -1172650443,
          +329835004,         -1172650438,
          +329834977,         -1172650412,
          +329834956,         -1172650404,
          +329834938,         -1172650427,
          +329834922,         -1172650444,
          +329834901,         -1172650460,
          +329834884,         -1172650480,
          +329834877,         -1172650518,
          +329834869,         -1172650569,
          +329834862,         -1172650627,
          +329834849,         -1172650711,
          +329834323,         -1172650577,
          +329834322,         -1172650576,
          +329834323,         -1172650573,
          +329834323,         -1172650568,
          +329834322,         -1172650571,
          +329834323,         -1172650568,
          +329834325,         -1172650561,
          +329834324,         -1172650555,
          +329834319,         -1172650554,
          +329834318,         -1172650558,
          +329834320,         -1172650561,
          +329834320,         -1172650553,
          +329834322,         -1172650544,
          +329834328,         -1172650533,
          +329834331,         -1172650526,
          +329834327,         -1172650525,
          +329834326,         -1172650528,
          +329834332,         -1172650539,
          +329834334,         -1172650538,
          +329834329,         -1172650539,
          +329834326,         -1172650544,
          +329834325,         -1172650544,
          +329834322,         -1172650537,
          +329834323,         -1172650529,
          +329834325,         -1172650527,
          +329834325,         -1172650528,
          +329834325,         -1172650525,
          +329834326,         -1172650518,
          +329834314,         -1172650518,
          +329834315,         -1172650517,
          +329834308,         -1172650517,
          +329834298,         -1172650519,
          +329834210,         -1172650411,
          +329834207,         -1172650412,
          +329834207,         -1172650411,
          +329834201,         -1172650412,
          +329834195,         -1172650415,
          +329834194,         -1172650413,
          +329834193,         -1172650411,
          +329834194,         -1172650414,
          +329834196,         -1172650413,
          +329834198,         -1172650410,
          +329834196,         -1172650409,
          +329834194,         -1172650408,
          +329834195,         -1172650401,
          +329834196,         -1172650400,
          +329834198,         -1172650401,
          +329834200,         -1172650401,
          +329834204,         -1172650400,
          +329834206,         -1172650418,
          +329834199,         -1172650452,
          +329834173,         -1172650493,
          +329834129,         -1172650516,
          +329834083,         -1172650508,
          +329834062,         -1172650461,
          +329834042,         -1172650405,
          +329834024,         -1172650353,
          +329834008,         -1172650308,
          +329833996,         -1172650270,
          +329833983,         -1172650246,
          +329833972,         -1172650233,
          +329833963,         -1172650213,
          +329833947,         -1172650180,
          +329833919,         -1172650141,
          +329833882,         -1172650101,
          +329833840,         -1172650060,
          +329833788,         -1172650009,
          +329833722,         -1172649966,
          +329833652,         -1172649917,
          +329833566,         -1172649832,
          +329833499,         -1172649740,
          +329833464,         -1172649681,
          +329833435,         -1172649631,
          +329833413,         -1172649602,
          +329833424,         -1172649596,
          +329833438,         -1172649628,
          +329833477,         -1172649636,
          +329833510,         -1172649680,
          +329833537,         -1172649717,
          +329833536,         -1172649764,
          +329833532,         -1172649802,
          +329833548,         -1172649833,
          +329833564,         -1172649842,
          +329833582,         -1172649833,
          +329833584,         -1172649843,
          +329833595,         -1172649834,
          +329833606,         -1172649825,
          +329833607,         -1172649826,
          +329833607,         -1172649818,
          +329833617,         -1172649812,
          +329833629,         -1172649818,
          +329833633,         -1172649839,
          +329833621,         -1172649880,
          +329833607,         -1172649923,
          +329833592,         -1172649948,
